title,length,release_year,ablum_title
World Princess,04:41,2010,Halfaxa
Kill V. Maim,04:06,2015,Art Angels
Oblivion,04:11,2012,Visions
Butterfly,04:13,2015,Art Angels
Flesh Without Blood,04:25,2015,Art Angels
California,03:18,2015,Art Angels
Pin,03:33,2015,Art Angels
Realiti,05:07,2015,Art Angels
"World Princess, Pt.II",05:06,2015,Art Angels
Violence,03:40,2020,Miss Anthropocene
Delete Forever,03:57,2020,Miss Anthropocene
Shinigami Eyes,02:39,2022,Shinigami Eyes
Circumambient,03:43,2012,Visions
Vanessa,05:24,2011,Darkbloom
Rosa,03:12,2010,Geidi Primes
Genesis,04:15,2012,Visions
